# Simulated data set created 2022-07-27 16:08 (1000 transcripts)
# Root distribution: gamma:0.375:1600.0
# Tree: ((((sp1<1>,sp2<2>)<12>,(((sp3<3>,sp4<4>)<15>,sp5<5>)<14>,sp6<6>)<13>)<11>,sp7<7>)<10>,sp8<8>)<9>
# Sigma: 1
DESC	FID	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
SIG1	transcript0	21.5465	1.23451	3.5156	9.09013	14.083	17.4409	19.3906	19.3906
SIG1	transcript1	1254.99	123.477	3430.33	375.022	7666.33	185.071	25609.4	686.226
SIG1	transcript2	277.144	1534.61	375.022	339.068	1026.28	91.0759	2537.16	185.071
SIG1	transcript3	6.46369	3.99302	167.28	23.9302	0.222631	40.2064	250.549	82.2718
SIG1	transcript4	758.884	1876.49	250.549	204.744	1134.89	686.226	686.226	414.778
SIG1	transcript5	100.811	339.068	2805.51	1534.61	9373.31	3430.33	1534.61	2294.47
SIG1	transcript6	82.2718	2537.16	136.637	82.2718	1876.49	928.058	3.08383	3.99302
SIG1	transcript7	26.566	19.3906	1876.49	306.552	339.068	250.549	6.46369	561.088
SIG1	transcript8	2074.98	69966	28317.1	77363.4	3430.33	561.088	2.02082	226.497
SIG1	transcript9	123.477	2074.98	15.6777	185.071	23.9302	226.497	123.477	111.575
SIG1	transcript10	82.2718	2.69335	226.497	32.703	111.575	44.563	5.10462	136.637
SIG1	transcript11	15493.5	12672.1	507.343	277.144	36.2663	1876.49	7666.33	74.3096
SIG1	transcript12	8.12534	0.351895	19.3906	91.0759	5.75004	21.5465	0.351895	7.2528
SIG1	transcript13	1.02085	1.02085	91.0759	100.811	23.9302	32.703	277.144	0.494826
SIG1	transcript14	115645	315942	1.42667e+06	1.57751e+06	25609.4	11460.3	2074.98	156341
SIG1	transcript15	686.226	123.477	185.071	12.6408	40.2064	32.703	15.6777	839.224
SIG1	transcript16	414.778	40.2064	36.2663	23.9302	26.566	1.73198	561.088	1254.99
SIG1	transcript17	2074.98	458.736	2805.51	620.515	1387.78	60.5964	91.0759	250.549
SIG1	transcript18	26.566	123.477	0.351895	0.652869	1.47075	0.105726	44.563	21.5465
SIG1	transcript19	44.563	226.497	28317.1	5128.24	226.497	123.477	15493.5	3102.24
SIG1	transcript20	928.058	6270.17	339.068	1026.28	1387.78	6933.2	111.575	1254.99
SIG1	transcript21	57225.6	7666.33	172870	9373.31	94587.1	2.88309e+06	104588	3102.24
SIG1	transcript22	507.343	1387.78	6933.2	4637.8	5128.24	60.5964	4194.25	258411
SIG1	transcript23	375.022	9373.31	2805.51	6270.17	839.224	507.343	928.058	620.515
SIG1	transcript24	3793.11	277.144	69966	1876.49	8476.97	620.515	1534.61	414.778
SIG1	transcript25	2.69335	0.827621	12.6408	7.2528	23.9302	60.5964	1.02085	17.4409
SIG1	transcript26	21.5465	12.6408	3.5156	0.105726	15.6777	12.6408	9.09013	1.73198
SIG1	transcript27	4194.25	9373.31	2805.51	3430.33	686.226	7666.33	123.477	15.6777
SIG1	transcript28	167.28	14.083	14.083	1.73198	15.6777	1026.28	26.566	17131.7
SIG1	transcript29	40.2064	5.10462	5.10462	0	0.827621	3.08383	0.494826	0.105726
SIG1	transcript30	12672.1	4637.8	185.071	277.144	226.497	3430.33	31311.1	123.477
SIG1	transcript31	136.637	111.575	6.46369	100.811	54.7067	74.3096	1387.78	204.744
SIG1	transcript32	44.563	9.09013	123.477	100.811	226.497	277.144	32.703	5128.24
SIG1	transcript33	31311.1	928.058	31311.1	115645	20946	349345	620.515	5128.24
SIG1	transcript34	2074.98	2074.98	2537.16	5128.24	2537.16	349345	1387.78	111.575
SIG1	transcript35	51753.7	1026.28	167.28	36.2663	4194.25	458.736	928.058	5128.24
SIG1	transcript36	6270.17	1534.61	40.2064	458.736	54.7067	29.4804	123.477	2294.47
SIG1	transcript37	2537.16	2294.47	458.736	686.226	458.736	1876.49	258411	18943.1
SIG1	transcript38	26.566	49.3802	10.1569	10.1569	40.2064	167.28	11.3365	0.105726
SIG1	transcript39	1387.78	82.2718	1254.99	7666.33	2074.98	100.811	44.563	4194.25
SIG1	transcript40	758.884	204.744	29.4804	14.083	5.10462	7.2528	54.7067	11.3365
SIG1	transcript41	1387.78	2805.51	54.7067	561.088	1876.49	839.224	49.3802	12.6408
SIG1	transcript42	44.563	306.552	458.736	123.477	507.343	561.088	0.494826	49.3802
SIG1	transcript43	561.088	4194.25	472279	315942	156341	638472	34621.6	2805.51
SIG1	transcript44	1534.61	620.515	561.088	2294.47	3430.33	44.563	1.47075	1876.49
SIG1	transcript45	4194.25	12672.1	11460.3	3793.11	4194.25	77363.4	6.46369	375.022
SIG1	transcript46	21.5465	67.1087	0.105726	4.52091	7.2528	9.09013	758.884	1.47075
SIG1	transcript47	2.3402	10.1569	0.105726	0.105726	0	3.5156	7.2528	2.69335
SIG1	transcript48	91.0759	91.0759	32.703	5.10462	29.4804	0.494826	5.10462	3.99302
SIG1	transcript49	561.088	226.497	23.9302	5.10462	44.563	19.3906	12.6408	19.3906
SIG1	transcript50	928.058	1876.49	21.5465	26.566	14.083	40.2064	11.3365	686.226
SIG1	transcript51	9.09013	40.2064	2.3402	5.10462	23.9302	49.3802	1.02085	36.2663
SIG1	transcript52	40.2064	60.5964	4.52091	4.52091	82.2718	5.10462	6.46369	6270.17
SIG1	transcript53	10364.4	306.552	185.071	3430.33	839.224	111.575	226.497	458.736
SIG1	transcript54	26.566	12.6408	6.46369	49.3802	151.189	5.10462	44.563	49.3802
SIG1	transcript55	17131.7	77363.4	11460.3	17131.7	3430.33	204.744	1876.49	839.224
SIG1	transcript56	29.4804	507.343	82.2718	8.12534	17.4409	91.0759	6.46369	0.827621
SIG1	transcript57	49.3802	49.3802	11460.3	5128.24	167.28	250.549	77363.4	38282.1
SIG1	transcript58	14.083	9.09013	204.744	15.6777	2.02082	375.022	507.343	151.189
SIG1	transcript59	151.189	339.068	51753.7	31311.1	561.088	6270.17	2537.16	151.189
SIG1	transcript60	1.47075	2.02082	49.3802	9.09013	0.827621	2.02082	0.222631	0.827621
SIG1	transcript61	32.703	375.022	928.058	1696.97	306.552	10364.4	758.884	19.3906
SIG1	transcript62	1134.89	46805.1	277.144	49.3802	185.071	1026.28	136.637	85542.8
SIG1	transcript63	0.105726	14.083	100.811	226.497	0.652869	226.497	185.071	23.9302
SIG1	transcript64	2074.98	123.477	51753.7	12672.1	1254.99	18943.1	12672.1	191147
SIG1	transcript65	1.47075	3.99302	1.23451	10.1569	29.4804	40.2064	100.811	2.69335
SIG1	transcript66	23.9302	4.52091	250.549	54.7067	21.5465	82.2718	32.703	0.827621
SIG1	transcript67	111.575	74.3096	4637.8	3793.11	20946	3793.11	5128.24	5670.54
SIG1	transcript68	91.0759	2294.47	40.2064	19.3906	1.23451	1.02085	54.7067	0.351895
SIG1	transcript69	1876.49	185.071	74.3096	339.068	32.703	32.703	375.022	151.189
SIG1	transcript70	26.566	15.6777	3.99302	23.9302	2.69335	5.75004	151.189	277.144
SIG1	transcript71	2294.47	36.2663	40.2064	12.6408	9.09013	21.5465	123.477	375.022
SIG1	transcript72	1.23451	21.5465	2.69335	111.575	12.6408	5.75004	0.222631	82.2718
SIG1	transcript73	1134.89	185.071	111.575	91.0759	306.552	74.3096	5128.24	458.736
SIG1	transcript74	12.6408	26.566	0.494826	0.351895	15.6777	1.73198	1.73198	3.5156
SIG1	transcript75	185.071	19.3906	60.5964	758.884	74.3096	136.637	0.105726	250.549
SIG1	transcript76	100.811	19.3906	0.827621	5.75004	3.08383	151.189	4.52091	7.2528
SIG1	transcript77	4194.25	458.736	1696.97	1134.89	40.2064	136.637	49.3802	928.058
SIG1	transcript78	507.343	1254.99	4194.25	620.515	31311.1	3430.33	758.884	277.144
SIG1	transcript79	9.09013	15.6777	14.083	60.5964	19.3906	44.563	1387.78	1534.61
SIG1	transcript80	306.552	507.343	11460.3	2294.47	12672.1	74.3096	23160.6	2537.16
SIG1	transcript81	3430.33	204.744	185.071	36.2663	100.811	8.12534	2294.47	10364.4
SIG1	transcript82	29.4804	29.4804	82.2718	67.1087	339.068	111.575	10.1569	3.99302
SIG1	transcript83	5.10462	4.52091	60.5964	277.144	339.068	123.477	561.088	0.222631
SIG1	transcript84	3793.11	5128.24	151.189	839.224	14.083	2074.98	306.552	0.222631
SIG1	transcript85	18943.1	1387.78	3793.11	5670.54	2805.51	250.549	4637.8	458.736
SIG1	transcript86	44.563	19.3906	9.09013	11.3365	9.09013	91.0759	11.3365	5.10462
SIG1	transcript87	2.69335	2.3402	17.4409	6.46369	32.703	36.2663	14.083	507.343
SIG1	transcript88	277.144	839.224	23.9302	40.2064	123.477	8.12534	1.47075	49.3802
SIG1	transcript89	82.2718	185.071	21.5465	6.46369	29.4804	26.566	1.47075	1.47075
SIG1	transcript90	1.47075	6.46369	0	5.75004	3.99302	12.6408	0.827621	1.73198
SIG1	transcript91	0.494826	14.083	0.494826	7.2528	0	2.69335	4.52091	0.222631
SIG1	transcript92	1.47075	2.02082	6.46369	82.2718	26.566	1.73198	11.3365	3.99302
SIG1	transcript93	0.105726	15.6777	1.02085	21.5465	1.23451	23.9302	49.3802	151.189
SIG1	transcript94	5670.54	5670.54	4637.8	3102.24	339.068	15493.5	7666.33	23160.6
SIG1	transcript95	204.744	375.022	1876.49	1026.28	226.497	111.575	2.02082	23.9302
SIG1	transcript96	111.575	100.811	839.224	1254.99	414.778	3102.24	1387.78	1026.28
SIG1	transcript97	21.5465	17.4409	19.3906	3.08383	49.3802	10.1569	136.637	9.09013
SIG1	transcript98	9.09013	91.0759	1534.61	2805.51	1134.89	758.884	1696.97	1876.49
SIG1	transcript99	6933.2	2294.47	1254.99	3102.24	5128.24	5670.54	2294.47	5128.24
SIG1	transcript100	375.022	6933.2	6933.2	1134.89	20946	94587.1	250.549	3793.11
SIG1	transcript101	1696.97	1696.97	8.12534	44.563	11.3365	136.637	1.23451	1876.49
SIG1	transcript102	1026.28	1254.99	250.549	507.343	2294.47	620.515	21.5465	167.28
SIG1	transcript103	2294.47	82.2718	226.497	2294.47	9373.31	14012	15493.5	306.552
SIG1	transcript104	339.068	11460.3	1387.78	414.778	507.343	758.884	507.343	1026.28
