# Simulated data set created 2023-06-07 14:47 (500 transcripts)	
# Root distribution: gamma:0.375:1600.0
# Tree: ((((sp1<1>,sp2<2>)<12>,(((sp3<3>,sp4<4>)<15>,sp5<5>)<14>,sp6<6>)<13>)<11>,sp7<7>)<10>,sp8<8>)<9>
# Sigma Tree: ((((sp1:2,sp2:2):2,(((sp3:2,sp4:2):2,sp5:2):2,sp6:1):1):1,sp7:1):1,sp8:1)
# The values in this file should reconstruct these four sigmas:
# Lungs: 0.5, 1.0
# Heart: 0.25, 2.1
DESC	GENE_ID	SAMPLETYPE	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
FourSigmas	transcript0	Lungs	1.12499	1.87277	2.88368	4.25033	1.87277	2.3402	0	4.25033
FourSigmas	transcript1	Lungs	42.33	31.0513	482.429	3430.33	758.884	123.477	143.731	6.0979
FourSigmas	transcript2	Lungs	482.429	414.778	482.429	356.594	8476.97	561.088	6270.17	1613.75
FourSigmas	transcript3	Lungs	15493.5	7290.56	758.884	2537.16	15493.5	9856.42	5392.58	7290.56
FourSigmas	transcript4	Lungs	263.513	7.2528	5.10462	123.477	11.9723	561.088	167.28	10.1569
FourSigmas	transcript5	Lungs	18014.6	7290.56	1387.78	8476.97	67.1087	1026.28	15493.5	20946
FourSigmas	transcript6	Lungs	26.566	42.33	1.87277	4.25033	0.571863	14.083	3.5156	2.3402
FourSigmas	transcript7	Lungs	106.058	167.28	3430.33	652.545	78.1907	6270.17	2537.16	2537.16
FourSigmas	transcript8	Lungs	2181.97	652.545	758.884	414.778	167.28	1026.28	123.477	78.1907
FourSigmas	transcript9	Lungs	306.552	14.083	22.7084	78.1907	8.59562	7.2528	6.0979	106.058
FourSigmas	transcript10	Lungs	263.513	414.778	4637.8	1876.49	51753.7	1387.78	123.477	758.884
FourSigmas	transcript11	Lungs	18014.6	3988.64	200998	1.43E+06	148678	69966	1387.78	4637.8
FourSigmas	transcript12	Lungs	356.594	1193.43	2950.15	32924.7	32924.7	20946	69966	44511.2
FourSigmas	transcript13	Lungs	36.2663	561.088	758.884	414.778	91.0759	8.59562	67.1087	263.513
FourSigmas	transcript14	Lungs	1026.28	561.088	2950.15	18014.6	882.525	482.429	882.525	1026.28
FourSigmas	transcript15	Lungs	356.594	57.5776	882.525	91.0759	11.9723	78.1907	11.9723	11.9723
FourSigmas	transcript16	Lungs	0.571863	1.12499	7.2528	0.16271	2.88368	1.87277	0	2.88368
FourSigmas	transcript17	Lungs	8476.97	414.778	2537.16	1387.78	3430.33	2537.16	263.513	4637.8
FourSigmas	transcript18	Lungs	10.1569	6.0979	0.351895	2.88368	1.12499	6.0979	31.0513	10.1569
