# Simulated data set created 2025-05-29 14:12 (500 transcripts)
# Root distribution: gamma:0.375:1600.0
# Tree: (((A<1>,B<2>)<7>,C<3>)<6>,D<4>)<5>
# Sigma2: 0.5,1.0,1.5,3.0,3.5,2.0,2.5
DESC	GENE_ID	A	B	C	D
SIG1	transcript0	1133.86	65072.6	102.663	14601.7
SIG1	transcript1	1138.3	46.4586	37.4613	126.156
SIG1	transcript2	1742.5	6697.93	61330.4	220192
SIG1	transcript3	32.7074	66.9705	187.138	11601.6
SIG1	transcript4	4431.07	15384.3	576.901	131047
SIG1	transcript5	1433.47	5628.41	693.883	422.051
SIG1	transcript6	2555.94	2019.41	131.989	281.727
SIG1	transcript7	7404.11	976.591	4295.51	77.6089
SIG1	transcript8	9.27394	0.106875	0.426542	147.714
SIG1	transcript9	42.023	10.1897	42.0596	153.107
SIG1	transcript10	914.205	1813.93	378.139	79.6113
SIG1	transcript11	88.2988	0.592884	100.927	0.216223
SIG1	transcript12	9.62438	59.5282	42.6379	1.16093
SIG1	transcript13	139.664	15.0386	191.599	491.949
SIG1	transcript14	24.1138	15.2721	895.22	6382.51
SIG1	transcript15	0.571991	1.34187	17.9263	145.528
SIG1	transcript16	738.628	161.178	324.454	17.5015
SIG1	transcript17	31.285	90.8263	0.474702	8228.99
SIG1	transcript18	99.5201	228.582	1254.52	512.332
SIG1	transcript19	63.0549	102.517	29.3799	2.67353
SIG1	transcript20	11.4763	30.1134	9.63731	161.615
SIG1	transcript21	2626.35	16372.6	2277.48	17527.7
SIG1	transcript22	37.1552	24.0143	508.726	46.5423
SIG1	transcript23	36.9482	306.156	5354.53	35638.3
SIG1	transcript24	71.375	1.15066	20.6855	73.0775
SIG1	transcript25	3.54891	72.3289	51.4746	0.948665
SIG1	transcript26	152.123	1097.02	660.794	114.633
SIG1	transcript27	46.9783	45.2728	11.5506	34.6854
SIG1	transcript28	28.9412	367.659	405.001	108.852
SIG1	transcript29	1544.73	248.139	487087	4101.66
SIG1	transcript30	173.834	21.9184	9.90834	802.123
SIG1	transcript31	353.962	44.5881	26.3582	0.177733
SIG1	transcript32	15.8617	30.3032	2.16636	114.475
SIG1	transcript33	1966.5	81.6772	64.8191	40.8165
SIG1	transcript34	133751	93074.8	1321.25	23297.1
SIG1	transcript35	7343.55	3236.11	17051.7	83316.9
SIG1	transcript36	1265.22	127.903	5952.05	40.2534
SIG1	transcript37	245.8	13.7694	256.389	21.1164
SIG1	transcript38	85.6252	37.405	57.8486	74921.9
SIG1	transcript39	13.2566	26.0047	1.40581	65.4319
SIG1	transcript40	1279.88	97.992	1899.27	206.929
SIG1	transcript41	32.7547	76.6692	0.684241	494.629
SIG1	transcript42	21.6876	137.702	10.6217	42.4605
SIG1	transcript43	2180.69	815.445	171656	6876.67
SIG1	transcript44	185.051	4.83263	493.576	207.644
SIG1	transcript45	1.05241	12.2092	6.78483	8.58351
SIG1	transcript46	36.6087	2.16074	1.73856	1.86422
SIG1	transcript47	1.01246	3.79107	3.93818	45.7732
SIG1	transcript48	42.3425	12.3181	7.64676	235.085
SIG1	transcript49	1.14944	3.88834	6.09571	2858.97
SIG1	transcript50	273.188	1331.03	74.7649	285229
SIG1	transcript51	0.202349	13.4642	1.40321	74.502
SIG1	transcript52	1622.04	18583.2	26.1999	117.747
SIG1	transcript53	587.6	453.317	69.7782	216.543
SIG1	transcript54	32.7224	17.6529	22.4803	0.450839
SIG1	transcript55	91.9109	90.0791	84.0729	166.772
SIG1	transcript56	94.2346	23.22	5.05976	237.431
SIG1	transcript57	0.438272	0.423903	3.45306	14.8353
SIG1	transcript58	127.723	11.0251	16.5777	55.4537
SIG1	transcript59	98.0277	4131.24	17.1871	14.8518
SIG1	transcript60	5670.24	10448.9	187.157	246.626
SIG1	transcript61	89.6551	4980.98	82.4842	15.0569
SIG1	transcript62	21.6059	84.5616	19.8465	5.67231
SIG1	transcript63	370.011	16206.6	82.7134	1083.9
