DESC	FID	SAMPLETYPE	human	chimp	orang	baboon	macaque	gibbon	horse	cat	marmoset	cow	mouse	rat
L10	simfam0	Brain	28.6597	31.2651	49.5031	5.21086	2.60543	26.0543	122.455	80.7683	39.0814	112.033	140.693	46.8977
L10	simfam1	Brain	20.8426	36.4745	18.2372	72.949	88.5809	0	127.661	52.1064	70.3436	54.7117	72.949	15.6319
L10	simfam2	Brain	33.8691	41.685	15.6319	20.8425	46.8956	10.4213	62.5275	26.0531	88.5806	101.607	31.2638	13.0266
L10	simfam3	Brain	46.8974	15.6325	70.346	211.038	140.692	96.4001	54.7136	46.8974	67.7406	57.319	106.822	0
L10	simfam4	Brain	96.4028	54.7151	52.1096	80.7699	70.348	33.8712	119.852	148.512	49.5041	143.301	122.458	28.6603
L10	simfam5	Brain	122.459	138.092	109.431	140.697	153.725	140.697	101.615	153.725	132.881	72.954	138.092	112.037
L10	simfam6	Brain	18.2372	23.4478	28.6584	46.8956	31.2637	18.2372	130.265	218.846	96.3964	52.1062	177.161	153.713
L10	simfam7	Brain	289.188	312.636	338.689	250.109	244.898	255.32	203.214	65.1325	221.451	85.975	36.4742	205.819
L10	simfam8	Brain	18.2392	52.1119	18.2392	49.5063	13.028	10.4224	28.6615	114.646	46.9007	138.096	164.152	182.392
L10	simfam9	Brain	52.1064	5.21064	0	41.6851	49.5011	2.60532	338.691	265.743	10.4213	153.714	65.133	174.556
L10	simfam10	Brain	13.0265	41.6848	7.8159	28.6583	2.6053	49.5007	65.1325	5.2106	23.4477	190.187	7.8159	44.2901
L10	simfam11	Brain	39.0805	20.8429	70.3448	54.7126	106.82	20.8429	23.4483	18.2375	15.6322	39.0805	57.318	15.6322
L10	simfam12	Brain	158.928	187.587	80.7666	65.1344	96.3989	57.3183	23.4484	2.60538	70.3451	143.296	164.139	44.2914
L10	simfam13	Brain	96.4043	93.7988	67.7436	72.9546	49.5049	46.8994	208.442	13.0276	28.6607	0	96.4043	23.4497
L10	simfam14	Brain	59.9219	52.106	91.1854	2.6053	72.9484	75.5537	174.555	195.397	23.4477	75.5537	96.396	52.106
L10	simfam15	Brain	15.632	23.448	75.5545	49.5012	13.0266	39.0799	192.794	20.8426	80.7652	59.9225	39.0799	138.082
L10	simfam16	Brain	15.6341	13.0284	18.2397	119.861	101.621	70.3533	88.593	10.4227	39.0851	109.438	286.624	260.568
L10	simfam17	Brain	49.5029	91.1896	57.3192	33.8704	41.6867	117.244	244.909	0	112.033	106.822	0	67.7408
L10	simfam18	Brain	52.1075	31.2645	28.6591	10.4215	5.21075	5.21075	85.9773	101.61	31.2645	28.6591	242.3	208.43
L10	simfam19	Brain	67.7401	80.767	174.561	211.036	114.637	62.5293	67.7401	49.5024	171.956	15.6323	190.193	127.664
L10	simfam20	Brain	62.5309	15.6327	109.429	28.66	52.1091	57.32	132.878	70.3472	75.5582	28.66	177.171	343.92
L10	simfam21	Brain	15.6338	10.4226	33.8733	5.21128	23.4508	62.5354	119.859	28.6621	36.479	7.81692	28.6621	0
L10	simfam22	Brain	112.04	85.9841	130.279	192.813	187.602	148.518	294.43	132.885	127.673	216.263	57.3227	135.49
L10	simfam23	Brain	59.9287	49.5063	62.5343	101.618	59.9287	109.435	80.7735	179.786	15.6336	153.73	67.7455	106.829
L10	simfam24	Brain	213.665	156.34	117.255	203.242	179.791	138.101	166.763	114.65	117.255	23.4511	54.7191	158.946
L10	simfam25	Brain	195.402	174.559	198.007	171.954	184.981	174.559	109.425	15.6322	195.402	302.222	117.241	244.904
L10	simfam26	Brain	0	18.2375	2.60536	44.2911	36.475	5.21072	13.0268	83.3715	13.0268	151.111	153.716	41.6857
L10	simfam27	Brain	208.465	221.494	203.253	104.232	127.685	187.618	101.627	72.9627	112.05	99.0208	177.195	182.407
L10	simfam28	Brain	33.872	67.744	99.0104	70.3495	54.7163	67.744	13.0277	93.7993	99.0104	31.2664	36.4775	44.2941
L10	simfam29	Brain	260.535	250.114	190.191	161.532	203.218	195.402	80.766	54.7124	93.7927	179.769	5.21071	182.375
L10	simfam30	Brain	72.9487	62.5275	88.5806	26.0531	41.685	13.0266	36.4744	78.1594	135.476	2.60531	18.2372	0
L10	simfam31	Brain	106.819	104.214	7.81604	93.7924	65.1336	62.5283	78.1604	138.083	166.742	10.4214	54.7123	59.9229
L10	simfam32	Brain	148.503	135.476	119.844	195.398	184.977	164.135	169.345	75.554	101.607	88.5806	0	41.685
L10	simfam33	Brain	85.9768	93.7929	72.95	20.8429	65.134	130.268	83.3715	49.5018	18.2375	0	44.2911	36.475
L10	simfam34	Brain	122.451	122.451	130.267	41.6855	70.3442	109.424	65.1335	263.139	80.7656	49.5015	132.872	117.24
L10	simfam35	Brain	122.449	104.212	28.6583	62.5272	57.3166	117.239	41.6848	182.371	13.0265	91.1855	135.476	67.7378
L10	simfam36	Brain	13.0273	7.81636	20.8436	7.81636	23.4491	49.5036	36.4764	57.32	31.2655	39.0818	36.4764	15.6327
L10	simfam37	Brain	36.4751	15.6322	57.3181	54.7127	52.1073	33.8698	18.2376	39.0805	119.847	192.797	200.613	104.215
L10	simfam38	Brain	177.166	122.453	156.323	49.5022	46.8969	7.81614	218.852	229.274	114.637	143.296	7.81614	164.139
L10	simfam39	Brain	26.0585	99.0224	15.6351	13.0293	44.2995	119.869	151.139	46.9053	31.2702	109.446	41.6936	67.7522
