DESC	FID	SAMPLETYPE	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
SIG1	transcript0	Heart	21.5465	1.23451	3.5156	9.09013	14.083	17.4409	19.3906	19.3906
SIG1	transcript1	Heart	1254.99	123.477	3430.33	375.022	7666.33	185.071	25609.4	686.226
SIG1	transcript2	Heart	277.144	1534.61	375.022	339.068	1026.28	91.0759	2537.16	185.071
SIG1	transcript3	Heart	6.46369	3.99302	167.28	23.9302	0.222631	40.2064	250.549	82.2718
SIG1	transcript4	Heart	758.884	1876.49	250.549	204.744	1134.89	686.226	686.226	414.778
SIG1	transcript5	Heart	100.811	339.068	2805.51	1534.61	9373.31	3430.33	1534.61	2294.47
SIG1	transcript6	Heart	82.2718	2537.16	136.637	82.2718	1876.49	928.058	3.08383	3.99302
SIG1	transcript7	Heart	26.566	19.3906	1876.49	306.552	339.068	250.549	6.46369	561.088
SIG1	transcript8	Heart	2074.98	69966.0	28317.1	77363.4	3430.33	561.088	2.02082	226.497
SIG1	transcript9	Heart	123.477	2074.98	15.6777	185.071	23.9302	226.497	123.477	111.575
SIG1	transcript10	Heart	82.2718	2.69335	226.497	32.703	111.575	44.563	5.10462	136.637
SIG1	transcript11	Heart	15493.5	12672.1	507.343	277.144	36.2663	1876.49	7666.33	74.3096
SIG1	transcript12	Heart	8.12534	0.351895	19.3906	91.0759	5.75004	21.5465	0.351895	7.2528
SIG1	transcript13	Heart	1.02085	1.02085	91.0759	100.811	23.9302	32.703	277.144	0.494826
SIG1	transcript14	Heart	115645.0	315942.0	1426670.0	1577510.0	25609.4	11460.3	2074.98	156341.0
SIG1	transcript15	Heart	686.226	123.477	185.071	12.6408	40.2064	32.703	15.6777	839.224
SIG1	transcript16	Heart	414.778	40.2064	36.2663	23.9302	26.566	1.73198	561.088	1254.99
SIG1	transcript17	Heart	2074.98	458.736	2805.51	620.515	1387.78	60.5964	91.0759	250.549
SIG1	transcript18	Heart	26.566	123.477	0.351895	0.652869	1.47075	0.105726	44.563	21.5465
SIG1	transcript19	Heart	44.563	226.497	28317.1	5128.24	226.497	123.477	15493.5	3102.24
SIG1	transcript20	Heart	928.058	6270.17	339.068	1026.28	1387.78	6933.2	111.575	1254.99
SIG1	transcript21	Heart	57225.6	7666.33	172870.0	9373.31	94587.1	2883090.0	104588.0	3102.24
SIG1	transcript22	Heart	507.343	1387.78	6933.2	4637.8	5128.24	60.5964	4194.25	258411.0
SIG1	transcript23	Heart	375.022	9373.31	2805.51	6270.17	839.224	507.343	928.058	620.515
SIG1	transcript24	Heart	3793.11	277.144	69966.0	1876.49	8476.97	620.515	1534.61	414.778
SIG1	transcript25	Heart	2.69335	0.827621	12.6408	7.2528	23.9302	60.5964	1.02085	17.4409
SIG1	transcript26	Heart	21.5465	12.6408	3.5156	0.105726	15.6777	12.6408	9.09013	1.73198
SIG1	transcript27	Heart	4194.25	9373.31	2805.51	3430.33	686.226	7666.33	123.477	15.6777
SIG1	transcript28	Heart	167.28	14.083	14.083	1.73198	15.6777	1026.28	26.566	17131.7
SIG1	transcript29	Heart	40.2064	5.10462	5.10462	0.0	0.827621	3.08383	0.494826	0.105726
SIG1	transcript30	Heart	12672.1	4637.8	185.071	277.144	226.497	3430.33	31311.1	123.477
SIG1	transcript31	Heart	136.637	111.575	6.46369	100.811	54.7067	74.3096	1387.78	204.744
SIG1	transcript32	Heart	44.563	9.09013	123.477	100.811	226.497	277.144	32.703	5128.24
SIG1	transcript33	Heart	31311.1	928.058	31311.1	115645.0	20946.0	349345.0	620.515	5128.24
