DESC	GENE_ID	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
SIG0.1	transcript0	561.088	306.552	384.59	447.329	330.63	520.277	155.062	356.594
SIG0.1	transcript1	17.9101	15.2638	114.439	98.2845	67.1087	20.987	49.3802	36.2663
SIG0.1	transcript2	2.09768	0.694924	0.457736	0.970706	1.12499	0.827621	5.58255	1.12499
SIG0.1	transcript3	1026.28	414.778	1387.78	951.697	1106.71	482.429	447.329	652.545
SIG0.1	transcript4	356.594	561.088	330.63	652.545	226.497	330.63	244.308	447.329
SIG0.1	transcript5	703.712	1387.78	2023.47	1613.75	1613.75	1876.49	2537.16	703.712
SIG0.1	transcript6	1387.78	1613.75	703.712	482.429	951.697	951.697	209.979	818.376
SIG0.1	transcript7	1.66419	3.5156	4.66138	2.3402	2.88368	6.0979	0.827621	0.0
SIG0.1	transcript8	561.088	818.376	447.329	561.088	758.884	1026.28	2537.16	31.0513
SIG0.1	transcript9	11460.3	3181.2	951.697	1387.78	882.525	1026.28	951.697	356.594
SIG0.1	transcript10	3988.64	4637.8	3181.2	2950.15	1387.78	2735.88	5392.58	818.376
SIG0.1	transcript11	49.3802	72.441	67.1087	84.3906	72.441	42.33	53.3245	62.1636
SIG0.1	transcript12	114.439	167.28	84.3906	98.2845	209.979	123.477	114.439	39.1839
SIG0.1	transcript13	263.513	143.731	2352.88	2181.97	1876.49	1106.71	1613.75	263.513
SIG0.1	transcript14	98.2845	106.058	263.513	384.59	91.0759	62.1636	209.979	24.5645
SIG0.1	transcript15	28.7241	10.1569	114.439	57.5776	133.222	67.1087	31.0513	20.987
SIG0.1	transcript16	28.7241	106.058	53.3245	91.0759	45.7223	78.1907	39.1839	67.1087
SIG0.1	transcript17	1026.28	2950.15	4301.0	5392.58	2537.16	6270.17	4637.8	9856.42
SIG0.1	transcript18	2537.16	3181.2	882.525	758.884	520.277	2181.97	482.429	482.429
SIG0.1	transcript19	42.33	33.5606	123.477	143.731	78.1907	33.5606	26.566	24.5645
SIG0.1	transcript20	194.661	226.497	167.28	67.1087	57.5776	78.1907	155.062	194.661
SIG0.1	transcript21	155.062	482.429	284.222	263.513	356.594	209.979	306.552	7861.42
SIG0.1	transcript22	6761.15	5000.97	2181.97	3988.64	1876.49	758.884	2352.88	3181.2
SIG0.1	transcript23	0.351895	0.827621	0.16271	0.0	0.457736	0.0782905	0.571863	0.0782905
SIG0.1	transcript24	703.712	758.884	818.376	520.277	703.712	520.277	263.513	447.329
SIG0.1	transcript25	384.59	167.28	226.497	263.513	482.429	818.376	414.778	209.979
SIG0.1	transcript26	12357.6	5392.58	4637.8	7290.56	12357.6	5000.97	4637.8	3430.33
SIG0.1	transcript27	447.329	263.513	605.094	758.884	520.277	384.59	155.062	1106.71
SIG0.1	transcript28	31.0513	67.1087	84.3906	67.1087	31.0513	72.441	39.1839	78.1907
SIG0.1	transcript29	24.5645	31.0513	57.5776	39.1839	28.7241	31.0513	19.3906	17.9101
SIG0.1	transcript30	57.5776	49.3802	284.222	180.455	356.594	284.222	57.5776	78.1907
SIG0.1	transcript31	39.1839	20.987	20.987	26.566	6.0979	20.987	57.5776	91.0759
SIG0.1	transcript32	2023.47	1740.17	520.277	330.63	1026.28	818.376	4637.8	882.525
SIG0.1	transcript33	330.63	482.429	1496.51	652.545	652.545	818.376	2023.47	2352.88
SIG0.1	transcript34	42.33	33.5606	45.7223	123.477	84.3906	114.439	49.3802	45.7223
SIG0.1	transcript35	1026.28	1106.71	1106.71	1740.17	1613.75	3181.2	284.222	605.094
SIG0.1	transcript36	9.34686	5.10462	1.47075	0.694924	3.18774	2.3402	3.18774	10.1569
SIG0.1	transcript37	11.9723	12.9879	20.987	11.9723	9.34686	72.441	17.9101	22.7084
SIG0.1	transcript38	951.697	306.552	520.277	1193.43	758.884	605.094	652.545	1026.28
