# Simulated data set created 20220727 16:08 (1000 transcripts)
# Root distribution: gamma:0.375:1600.0
# Tree: ((((sp1<1>,sp2<2>)<12>,(((sp3<3>,sp4<4>)<15>,sp5<5>)<14>,sp6<6>)<13>)<11>,sp7<7>)<10>,sp8<8>)<9>
# Sigma: 1
DESC	FID	sp1	sp2	sp3	sp4	sp5	sp6-1	sp7-1	sp8-1	sp6-2	sp7-2	sp8-2
SIG1	transcript0	21.5465	1.23451	3.5156	9.09013	14.083	17.4409	19.3906	19.3906	17.19763797	19.87353426	20.41916645
SIG1	transcript1	1254.99	123.477	3430.33	375.022	7666.33	185.071	25609.4	686.226	188.277359	25606.11865	683.0905913
SIG1	transcript2	277.144	1534.61	375.022	339.068	1026.28	91.0759	2537.16	185.071	91.89895458	2536.018619	184.1452927
SIG1	transcript3	6.46369	3.99302	167.28	23.9302	0.222631	40.2064	250.549	82.2718	41.9972207	250.2270562	84.64730727
SIG1	transcript4	758.884	1876.49	250.549	204.744	1134.89	686.226	686.226	414.778	682.8909457	685.5397274	412.4576159
SIG1	transcript5	100.811	339.068	2805.51	1534.61	9373.31	3430.33	1534.61	2294.47	3430.757364	1537.400857	2291.768509
SIG1	transcript6	82.2718	2537.16	136.637	82.2718	1876.49	928.058	3.08383	3.99302	923.2608457	0.224901594	6.147563781
SIG1	transcript7	26.566	19.3906	1876.49	306.552	339.068	250.549	6.46369	561.088	252.2885552	6.807673626	561.8686412
SIG1	transcript8	2074.98	69966	28317.1	77363.4	3430.33	561.088	2.02082	226.497	562.9483124	3.794275288	225.9665297
SIG1	transcript9	123.477	2074.98	15.6777	185.071	23.9302	226.497	123.477	111.575	230.4195943	126.3200876	112.9409563
SIG1	transcript10	82.2718	2.69335	226.497	32.703	111.575	44.563	5.10462	136.637	49.41223072	7.108532561	134.6198012
SIG1	transcript11	15493.5	12672.1	507.343	277.144	36.2663	1876.49	7666.33	74.3096	1879.647512	7662.156811	71.1383488
SIG1	transcript12	8.12534	0.351895	19.3906	91.0759	5.75004	21.5465	0.351895	7.2528	24.62658122	2.465375445	5.504905137
SIG1	transcript13	1.02085	1.02085	91.0759	100.811	23.9302	32.703	277.144	0.494826	29.34521256	278.2235208	2.50229117
SIG1	transcript14	115645	315942	1.43E+06	1.58E+06	25609.4	11460.3	2074.98	156341	11464.79607	2071.473097	156340.5357
SIG1	transcript15	686.226	123.477	185.071	12.6408	40.2064	32.703	15.6777	839.224	33.81607216	17.21055409	841.2527443
SIG1	transcript16	414.778	40.2064	36.2663	23.9302	26.566	1.73198	561.088	1254.99	4.995651845	564.821869	1259.960311
SIG1	transcript17	2074.98	458.736	2805.51	620.515	1387.78	60.5964	91.0759	250.549	64.3451088	87.71422137	246.0026977
SIG1	transcript18	26.566	123.477	0.351895	0.652869	1.47075	0.105726	44.563	21.5465	1.545709859	41.28510821	25.13519323
SIG1	transcript19	44.563	226.497	28317.1	5128.24	226.497	123.477	15493.5	3102.24	120.0942776	15497.27002	3100.737082
SIG1	transcript20	928.058	6270.17	339.068	1026.28	1387.78	6933.2	111.575	1254.99	6935.458754	115.5825669	1259.222262
SIG1	transcript21	57225.6	7666.33	172870	9373.31	94587.1	2.88E+06	104588	3102.24	2883085.784	104585.8514	3105.283446
SIG1	transcript22	507.343	1387.78	6933.2	4637.8	5128.24	60.5964	4194.25	258411	56.2647536	4196.794222	258412.7656
SIG1	transcript23	375.022	9373.31	2805.51	6270.17	839.224	507.343	928.058	620.515	502.5483269	926.9918466	622.1395787
SIG1	transcript24	3793.11	277.144	69966	1876.49	8476.97	620.515	1534.61	414.778	621.6459538	1537.451651	419.4539486
SIG1	transcript25	2.69335	0.827621	12.6408	7.2528	23.9302	60.5964	1.02085	17.4409	62.0975932	0.948946032	13.54006632
SIG1	transcript26	21.5465	12.6408	3.5156	0.105726	15.6777	12.6408	9.09013	1.73198	13.37752787	9.643753253	3.18381255
SIG1	transcript27	4194.25	9373.31	2805.51	3430.33	686.226	7666.33	123.477	15.6777	7664.394204	126.6606832	12.99364608
SIG1	transcript28	167.28	14.083	14.083	1.73198	15.6777	1026.28	26.566	17131.7	1025.088869	31.52120856	17135.79503
SIG1	transcript29	40.2064	5.10462	5.10462	0	0.827621	3.08383	0.494826	0.105726	1.685014767	4.318524682	0.471391661
SIG1	transcript30	12672.1	4637.8	185.071	277.144	226.497	3430.33	31311.1	123.477	3427.13108	31310.4265	125.711108
SIG1	transcript31	136.637	111.575	6.46369	100.811	54.7067	74.3096	1387.78	204.744	76.36734635	1388.611362	207.0906628
SIG1	transcript32	44.563	9.09013	123.477	100.811	226.497	277.144	32.703	5128.24	280.759533	33.48205853	5127.347209
SIG1	transcript33	31311.1	928.058	31311.1	115645	20946	349345	620.515	5128.24	349347.5903	617.2092204	5123.533829
SIG1	transcript34	2074.98	2074.98	2537.16	5128.24	2537.16	349345	1387.78	111.575	349348.581	1384.492582	106.9257884
SIG1	transcript35	51753.7	1026.28	167.28	36.2663	4194.25	458.736	928.058	5128.24	463.4283445	925.2339689	5131.282356
SIG1	transcript36	6270.17	1534.61	40.2064	458.736	54.7067	29.4804	123.477	2294.47	30.63954055	119.9321379	2297.155037
SIG1	transcript37	2537.16	2294.47	458.736	686.226	458.736	1876.49	258411	18943.1	1874.214862	258415.8557	18946.43265
SIG1	transcript38	26.566	49.3802	10.1569	10.1569	40.2064	167.28	11.3365	0.105726	166.4622085	15.40062097	4.187737551
SIG1	transcript39	1387.78	82.2718	1254.99	7666.33	2074.98	100.811	44.563	4194.25	99.43799509	44.03788204	4189.631621
SIG1	transcript40	758.884	204.744	29.4804	14.083	5.10462	7.2528	54.7067	11.3365	3.733534239	52.1717036	9.715173737
SIG1	transcript41	1387.78	2805.51	54.7067	561.088	1876.49	839.224	49.3802	12.6408	838.5317125	46.90153365	11.03868761
SIG1	transcript42	44.563	306.552	458.736	123.477	507.343	561.088	0.494826	49.3802	558.4350757	0.222895725	47.35628332
SIG1	transcript43	561.088	4194.25	472279	315942	156341	638472	34621.6	2805.51	638471.7762	34621.05391	2805.971991
SIG1	transcript44	1534.61	620.515	561.088	2294.47	3430.33	44.563	1.47075	1876.49	47.59924891	1.248384149	1875.582889
SIG1	transcript45	4194.25	12672.1	11460.3	3793.11	4194.25	77363.4	6.46369	375.022	77365.22857	4.145309957	373.9407746
SIG1	transcript46	21.5465	67.1087	0.105726	4.52091	7.2528	9.09013	758.884	1.47075	7.029940518	761.3571745	0.166753546
SIG1	transcript47	2.3402	10.1569	0.105726	0.105726	0	3.5156	7.2528	2.69335	3.129564905	8.097932556	1.986862665
SIG1	transcript48	91.0759	91.0759	32.703	5.10462	29.4804	0.494826	5.10462	3.99302	0.192567685	5.076631285	4.253902791
SIG1	transcript49	561.088	226.497	23.9302	5.10462	44.563	19.3906	12.6408	19.3906	16.29124426	11.03811951	19.90532922
SIG1	transcript50	928.058	1876.49	21.5465	26.566	14.083	40.2064	11.3365	686.226	40.98757991	13.16582281	683.4623952
SIG1	transcript51	9.09013	40.2064	2.3402	5.10462	23.9302	49.3802	1.02085	36.2663	50.72049553	0.194302336	33.12859561
SIG1	transcript52	40.2064	60.5964	4.52091	4.52091	82.2718	5.10462	6.46369	6270.17	1.79676775	9.169257789	6265.851871
SIG1	transcript53	10364.4	306.552	185.071	3430.33	839.224	111.575	226.497	458.736	108.3702633	221.8685915	456.7446204
SIG1	transcript54	26.566	12.6408	6.46369	49.3802	151.189	5.10462	44.563	49.3802	7.800366248	42.09302868	47.59084971
SIG1	transcript55	17131.7	77363.4	11460.3	17131.7	3430.33	204.744	1876.49	839.224	208.9028343	1879.042664	835.5403398
SIG1	transcript56	29.4804	507.343	82.2718	8.12534	17.4409	91.0759	6.46369	0.827621	91.94550367	6.725180928	4.342858013
SIG1	transcript57	49.3802	49.3802	11460.3	5128.24	167.28	250.549	77363.4	38282.1	254.4961728	77361.23214	38281.95051
SIG1	transcript58	14.083	9.09013	204.744	15.6777	2.02082	375.022	507.343	151.189	370.2962035	511.0370489	149.7330505
SIG1	transcript59	151.189	339.068	51753.7	31311.1	561.088	6270.17	2537.16	151.189	6272.780442	2540.045714	153.5239251
SIG1	transcript60	1.47075	2.02082	49.3802	9.09013	0.827621	2.02082	0.222631	0.827621	3.36771158	3.000646315	1.060268617
SIG1	transcript61	32.703	375.022	928.058	1696.97	306.552	10364.4	758.884	19.3906	10369.04441	756.0303721	16.715025
SIG1	transcript62	1134.89	46805.1	277.144	49.3802	185.071	1026.28	136.637	85542.8	1021.738029	137.9655044	85546.23832
SIG1	transcript63	0.105726	14.083	100.811	226.497	0.652869	226.497	185.071	23.9302	227.4173449	184.2158521	21.56419689
SIG1	transcript64	2074.98	123.477	51753.7	12672.1	1254.99	18943.1	12672.1	191147	18941.40317	12674.21605	191145.319
