DESC	FID	human	chimp	orang	baboon	macaque	gibbon	horse	cat	marmoset	cow	mouse	rat
L10	transcript0	46.8973	52.1082	91.1893	101.611	49.5027	117.243	10.4216	195.406	132.876	80.7676	101.611	36.4757
L10	transcript1	0	13.0268	31.2644	5.21073	2.60537	23.4483	70.3449	213.64	132.874	46.8966	125.058	49.5019
L10	transcript2	268.346	229.266	283.977	239.687	270.951	244.898	7.81589	80.7642	224.055	122.449	153.712	33.8689
L10	transcript3	41.6856	13.0267	85.9765	80.7658	65.1337	125.057	54.7123	106.819	106.819	112.03	75.5551	18.2374
L10	transcript4	26.0571	54.7198	91.1997	83.3826	114.651	138.102	218.879	130.285	52.1141	49.5084	33.8742	46.9027
L10	transcript5	80.7699	46.8986	85.9808	23.4493	0	114.641	67.7425	52.1096	41.6877	72.9534	156.329	151.118
L10	transcript6	104.214	117.241	132.873	23.4482	2.60535	80.7659	83.3712	5.2107	177.164	10.4214	200.612	343.906
L10	transcript7	99.0025	78.1599	132.872	216.242	221.453	93.7918	455.933	200.61	198.005	145.898	195.4	255.322
L10	transcript8	161.535	164.141	179.773	36.4757	49.5028	127.665	138.087	31.2649	78.1623	65.1352	125.06	169.352
L10	transcript9	20.8436	5.21091	10.4218	70.3473	78.1637	2.60546	20.8436	255.335	52.1091	122.456	83.3746	104.218
L10	transcript10	62.5341	44.295	67.7453	91.1956	41.6894	44.295	83.3788	10.4224	0	46.9006	70.3509	41.6894
L10	transcript11	62.5296	67.7404	59.9242	23.4486	59.9242	49.5026	15.6324	119.848	169.351	46.8972	20.8432	36.4756
L10	transcript12	46.8977	44.2923	26.0543	31.2652	5.21086	0	213.645	65.1358	78.1629	268.359	0	85.9792
L10	transcript13	26.0554	26.0554	10.4221	13.0277	52.1107	20.8443	41.6886	18.2388	70.3495	23.4498	93.7993	10.4221
L10	transcript14	106.82	91.1878	70.3448	23.4483	13.0268	122.452	130.268	15.6322	18.2376	106.82	54.7127	104.215
L10	transcript15	148.508	138.086	91.1891	143.297	158.93	200.616	106.822	237.092	28.6594	39.0811	112.032	49.5027
L10	transcript16	93.7918	101.608	49.5012	57.3172	78.1598	156.32	5.21065	2.60533	26.0533	62.5278	26.0533	158.925
L10	transcript17	15.6329	15.6329	5.21096	109.43	88.5864	5.21096	106.825	46.8987	39.0822	62.5316	5.21096	41.6877
L10	transcript18	41.685	91.1858	39.0796	148.503	208.425	96.3964	7.81593	106.818	151.108	2.60531	117.239	23.4478
