# Simulated data set created 20230526 16:08 (1500 transcripts)
# Root distribution: gamma:0.375:1600.0
# Tree: ((((sp1<1>,sp2<2>)<12>,(((sp3<3>,sp4<4>)<15>,sp5<5>)<14>,sp6<6>)<13>)<11>,sp7<7>)<10>,sp8<8>)<9>
# Sigma: 1 for Heart and Lungs, 3 for Brain
DESC	GENE_ID	SAMPLETYPE	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
SIG1	transcript0	Heart	40.2064	82.2718	67.1087	167.28	123.477	306.552	32.703	7666.33
SIG1	transcript1	Heart	4.52091	6.46369	2.02082	5.10462	67.1087	17.4409	17.4409	10.1569
SIG1	transcript2	Heart	5670.54	5670.54	23160.6	10364.4	15493.5	15493.5	2294.47	29.4804
SIG1	transcript3	Heart	60.5964	6.46369	1.47075	7.2528	5.75004	0.351895	2.69335	23.9302
SIG1	transcript4	Heart	136.637	15.6777	14.083	8.12534	6.46369	44.563	6.46369	1.02085
SIG1	transcript5	Heart	0.105726	2.3402	507.343	167.28	1.23451	6.46369	3.08383	60.5964
SIG1	transcript6	Heart	6.46369	0.827621	23.9302	9.09013	226.497	0.494826	54.7067	7.2528
SIG1	transcript7	Heart	10364.4	5128.24	458.736	226.497	375.022	686.226	23.9302	928.058
SIG1	transcript8	Heart	1.73198	36.2663	49.3802	40.2064	2.69335	4.52091	67.1087	5.10462
SIG1	transcript9	Heart	12.6408	29.4804	2.02082	49.3802	17.4409	1.02085	12.6408	0.351895
SIG1	transcript10	Heart	1026.28	1134.89	204.744	1026.28	17.4409	226.497	21.5465	0.105726
SIG1	transcript11	Heart	686.226	5670.54	233703	85542.8	85542.8	11460.3	9373.31	38282.1
SIG1	transcript12	Heart	60.5964	1254.99	277.144	40.2064	4194.25	1254.99	9.09013	1134.89
SIG1	transcript13	Heart	11460.3	14012	839.224	686.226	82.2718	2294.47	15.6777	19.3906
SIG1	transcript14	Heart	151.189	91.0759	26.566	32.703	277.144	507.343	8.12534	185.071
SIG1	transcript15	Heart	1696.97	5128.24	185.071	111.575	185.071	9373.31	1534.61	1134.89
SIG1	transcript16	Heart	11460.3	1134.89	277.144	226.497	250.549	21.5465	0.105726	3102.24
SIG1	transcript17	Heart	60.5964	11.3365	21.5465	14.083	5.75004	306.552	1696.97	458.736
SIG1	transcript18	Heart	74.3096	29.4804	67.1087	7.2528	29.4804	928.058	17.4409	375.022
SIG1	transcript19	Heart	1696.97	928.058	151.189	49.3802	620.515	1026.28	38282.1	1254.99
SIG1	transcript20	Heart	1026.28	1254.99	6270.17	928.058	2074.98	15.6777	100.811	2.02082
SIG1	transcript21	Heart	375.022	136.637	2074.98	686.226	3430.33	46805.1	507.343	54.7067
SIG1	transcript22	Heart	5.75004	12.6408	74.3096	686.226	10.1569	4637.8	1026.28	1.02085
SIG1	transcript23	Heart	1.23451	0.827621	3.99302	1.73198	4.52091	5.75004	2.02082	0.351895
SIG1	transcript24	Heart	1.23451	0.222631	12.6408	10.1569	5.10462	1.47075	0.105726	277.144
SIG1	transcript25	Heart	6270.17	29.4804	1254.99	204.744	6270.17	23160.6	11460.3	1876.49
SIG1	transcript26	Heart	44.563	12.6408	74.3096	277.144	306.552	250.549	82.2718	3102.24
SIG1	transcript27	Heart	2805.51	561.088	191147	141392	17131.7	386280	77363.4	77363.4
SIG1	transcript28	Heart	839.224	42329.6	6270.17	5670.54	31311.1	38282.1	69966	458.736
SIG1	transcript29	Heart	839.224	10.1569	686.226	204.744	17.4409	60.5964	0.351895	15.6777
SIG1	transcript30	Heart	5670.54	250.549	10364.4	23160.6	1876.49	23160.6	414.778	414.778
SIG1	transcript31	Heart	250.549	167.28	17.4409	26.566	40.2064	0.652869	54.7067	2.69335
SIG1	transcript32	Heart	3430.33	458.736	3102.24	928.058	5128.24	5670.54	250.549	8476.97
SIG1	transcript33	Heart	507.343	561.088	4637.8	4194.25	7666.33	3102.24	2805.51	91.0759
SIG1	transcript34	Heart	0.351895	6.46369	74.3096	19.3906	74.3096	9.09013	60.5964	339.068
SIG1	transcript35	Heart	74.3096	123.477	40.2064	167.28	44.563	21.5465	375.022	3102.24
SIG1	transcript36	Heart	339.068	185.071	21.5465	6.46369	2.3402	67.1087	3430.33	2.69335
SIG1	transcript37	Heart	758.884	123.477	151.189	306.552	36.2663	91.0759	82.2718	1876.49
SIG1	transcript38	Heart	91.0759	1696.97	1387.78	2805.51	1876.49	458.736	12672.1	8476.97
SIG1	transcript39	Heart	111.575	1.23451	40.2064	167.28	74.3096	4.52091	3.99302	414.778
SIG1	transcript40	Heart	23.9302	12.6408	620.515	1026.28	339.068	167.28	3430.33	94587.1
SIG1	transcript41	Heart	63275.9	25609.4	5128.24	306.552	8476.97	258411	28317.1	17131.7
SIG1	transcript42	Heart	91.0759	26.566	40.2064	11.3365	839.224	91.0759	18943.1	2074.98
SIG1	transcript43	Heart	6270.17	6933.2	34621.6	14012	18943.1	3793.11	1387.78	6933.2
SIG1	transcript44	Heart	1387.78	2294.47	414.778	1026.28	928.058	26.566	91.0759	3793.11
SIG1	transcript45	Heart	123.477	111.575	32.703	15.6777	100.811	2.02082	19.3906	1254.99
SIG1	transcript46	Heart	277.144	1387.78	11460.3	38282.1	2074.98	42329.6	620.515	2074.98
SIG1	transcript47	Heart	54.7067	620.515	1.02085	2.3402	1.23451	0.222631	32.703	3.5156
SIG1	transcript48	Heart	82.2718	32.703	375.022	839.224	1696.97	185.071	15493.5	74.3096
SIG1	transcript49	Heart	204.744	375.022	2074.98	375.022	1534.61	77363.4	11460.3	4194.25
SIG1	transcript50	Heart	4637.8	5670.54	472279	57225.6	6933.2	4194.25	686.226	3793.11
SIG1	transcript51	Heart	0.494826	1.73198	8.12534	0.222631	0.351895	2.02082	0.652869	277.144
SIG1	transcript52	Heart	1134.89	6270.17	3102.24	3102.24	1026.28	9373.31	54.7067	375.022
SIG1	transcript53	Heart	0.222631	7.2528	1.02085	3.99302	0.105726	2.3402	1.73198	2.69335
SIG1	transcript54	Heart	1534.61	3102.24	46805.1	51753.7	15493.5	10364.4	17131.7	2537.16
SIG1	transcript55	Heart	8476.97	115645	10364.4	8476.97	12672.1	11460.3	10364.4	4194.25
SIG1	transcript56	Heart	758.884	54.7067	2537.16	1134.89	414.778	5670.54	4194.25	6270.17
SIG1	transcript57	Heart	204.744	19.3906	10.1569	3.99302	91.0759	29.4804	91.0759	2.3402
SIG1	transcript58	Heart	156341	25609.4	11460.3	85542.8	3793.11	5670.54	42329.6	1.58E+06
SIG1	transcript59	Heart	2.3402	1.73198	1.23451	0.105726	3.08383	111.575	14.083	1.73198
SIG1	transcript60	Heart	91.0759	758.884	26.566	12.6408	54.7067	0.652869	8476.97	74.3096
SIG1	transcript61	Heart	5.75004	23.9302	14.083	2.69335	40.2064	0.351895	0.652869	29.4804
SIG1	transcript62	Heart	9373.31	5128.24	1387.78	1254.99	339.068	151.189	839.224	74.3096
SIG1	transcript63	Heart	44.563	15.6777	561.088	561.088	226.497	226.497	5128.24	458.736
SIG1	transcript64	Heart	63275.9	5.27E+06	780615	141392	85542.8	4637.8	11.3365	15493.5
SIG1	transcript65	Heart	306.552	67.1087	67.1087	36.2663	19.3906	561.088	3102.24	9373.31
SIG1	transcript66	Heart	91.0759	458.736	91.0759	167.28	185.071	91.0759	40.2064	204.744
SIG1	transcript67	Heart	2074.98	5670.54	2294.47	6933.2	758.884	1026.28	758.884	32.703
SIG1	transcript68	Heart	4.52091	29.4804	26.566	100.811	14.083	67.1087	507.343	0.351895
SIG1	transcript69	Heart	54.7067	15.6777	6270.17	561.088	74.3096	26.566	5.10462	136.637
SIG1	transcript70	Heart	60.5964	82.2718	49.3802	123.477	3.99302	74.3096	0.351895	14.083
SIG1	transcript71	Heart	758.884	686.226	9.09013	15.6777	67.1087	54.7067	1026.28	12672.1
SIG1	transcript72	Heart	11.3365	3.99302	2.3402	3.5156	0.827621	0	0.222631	1.73198
SIG1	transcript73	Heart	100.811	686.226	4.52091	60.5964	111.575	9.09013	2.02082	6933.2
SIG1	transcript74	Heart	0.105726	8.12534	5.75004	1.23451	21.5465	2.69335	4.52091	36.2663
SIG1	transcript75	Heart	151.189	375.022	136.637	54.7067	23.9302	561.088	0.827621	6933.2
SIG1	transcript76	Heart	0.105726	2.3402	758.884	928.058	8476.97	167.28	100.811	458.736
SIG1	transcript77	Heart	74.3096	91.0759	0.827621	7.2528	1.02085	6.46369	1.47075	5.10462
SIG1	transcript78	Heart	136.637	167.28	2074.98	758.884	1026.28	32.703	458.736	49.3802
SIG1	transcript79	Heart	91.0759	11.3365	561.088	1134.89	414.778	277.144	3430.33	18943.1
SIG1	transcript80	Heart	1026.28	7.2528	306.552	414.778	1534.61	2294.47	19.3906	123.477
SIG1	transcript81	Heart	111.575	928.058	277.144	3430.33	10.1569	375.022	32.703	1.02085
SIG1	transcript82	Heart	2294.47	458.736	204.744	40.2064	226.497	3430.33	1534.61	8.12534
SIG1	transcript83	Heart	3.08383	4.52091	4.52091	0.652869	10.1569	2.69335	1387.78	0
SIG1	transcript84	Heart	1534.61	1134.89	375.022	3430.33	25609.4	1534.61	17.4409	3.99302
SIG1	transcript85	Heart	151.189	8.12534	151.189	339.068	414.778	1387.78	17.4409	7.2528
SIG1	transcript86	Heart	151.189	458.736	111.575	67.1087	3.99302	14.083	15.6777	57225.6
SIG1	transcript87	Heart	0.494826	0.827621	0.105726	0.652869	2.3402	0.105726	1.73198	23.9302
SIG1	transcript88	Heart	1.73198	2.69335	151.189	136.637	82.2718	3.08383	1254.99	167.28
SIG1	transcript89	Heart	204.744	339.068	204.744	620.515	1134.89	758.884	151.189	928.058
SIG1	transcript90	Heart	3430.33	620.515	74.3096	928.058	136.637	3102.24	67.1087	74.3096
SIG1	transcript91	Heart	11460.3	204.744	1134.89	414.778	758.884	82.2718	185.071	414.778
SIG1	transcript92	Heart	156341	31311.1	3430.33	6270.17	1876.49	3793.11	427121	339.068
SIG1	transcript93	Heart	14012	4194.25	758.884	686.226	1696.97	111.575	60.5964	2805.51
SIG1	transcript94	Heart	204.744	29.4804	15493.5	5128.24	1134.89	57225.6	94587.1	51753.7
SIG1	transcript95	Heart	561.088	123.477	1876.49	1134.89	686.226	1534.61	226.497	82.2718
SIG1	transcript96	Heart	306.552	111.575	11.3365	204.744	10.1569	185.071	74.3096	0.351895
SIG1	transcript97	Heart	91.0759	3.99302	32.703	32.703	226.497	0.222631	23.9302	82.2718
SIG1	transcript98	Heart	10364.4	2805.51	156341	9373.31	3793.11	10364.4	94587.1	2.3402
SIG1	transcript99	Heart	19.3906	2537.16	3102.24	18943.1	306.552	167.28	54.7067	42329.6
SIG1	transcript100	Heart	375.022	111.575	839.224	204.744	204.744	167.28	226.497	167.28
SIG1	transcript101	Heart	5.75004	60.5964	9.09013	74.3096	49.3802	0.351895	0.827621	151.189
SIG1	transcript102	Heart	250.549	44.563	250.549	375.022	91.0759	414.778	151.189	185.071
SIG1	transcript103	Heart	167.28	49.3802	2074.98	507.343	414.778	44.563	1026.28	9.09013
SIG1	transcript104	Heart	2294.47	620.515	23160.6	69966	6270.17	38282.1	4637.8	49.3802
SIG1	transcript105	Heart	44.563	12.6408	32.703	100.811	15.6777	14.083	686.226	44.563
SIG1	transcript106	Heart	1.47075	1.23451	3.5156	12.6408	151.189	6270.17	339.068	414.778
SIG1	transcript107	Heart	10364.4	7666.33	507.343	204.744	1534.61	15.6777	32.703	4194.25
SIG1	transcript108	Heart	5128.24	507.343	6933.2	7666.33	17131.7	306.552	8476.97	839.224
SIG1	transcript109	Heart	0.105726	5.10462	0.652869	15.6777	49.3802	14.083	507.343	40.2064
SIG1	transcript110	Heart	82.2718	100.811	306.552	839.224	226.497	17.4409	11.3365	26.566
SIG1	transcript111	Heart	17131.7	49.3802	38282.1	69966	9373.31	63275.9	1134.89	285732
SIG1	transcript112	Heart	339.068	36.2663	375.022	1696.97	7666.33	82.2718	339.068	3.5156
SIG1	transcript113	Heart	167.28	151.189	11460.3	839.224	100.811	686.226	123.477	32.703
SIG1	transcript114	Heart	8476.97	123.477	414.778	4637.8	3430.33	111.575	458.736	277.144
SIG1	transcript115	Heart	36.2663	26.566	111.575	36.2663	14.083	10.1569	19.3906	10.1569
SIG1	transcript116	Heart	2.02082	7.2528	21.5465	7.2528	23.9302	1.02085	7.2528	4.52091
SIG1	transcript117	Heart	2.3402	1.73198	11.3365	1.73198	0.351895	5.75004	5.75004	2.69335
SIG1	transcript118	Heart	11460.3	620.515	82.2718	40.2064	82.2718	339.068	414.778	5128.24
SIG1	transcript119	Heart	3430.33	42329.6	4637.8	1134.89	12672.1	20946	60.5964	1696.97
SIG1	transcript120	Heart	82.2718	54.7067	60.5964	91.0759	74.3096	151.189	839.224	6270.17
SIG1	transcript121	Heart	1876.49	3102.24	25609.4	4194.25	11460.3	14012	4194.25	5670.54
SIG1	transcript122	Heart	12.6408	204.744	32.703	151.189	3430.33	2.3402	2074.98	1.02085
SIG1	transcript123	Heart	2537.16	7666.33	277.144	306.552	507.343	6933.2	1534.61	32.703
